Area,Item,Unit,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
Algeria,Cherries,1000 USD,9974000.0,9618000.0,12018000.0,11123000.0,10603000.0,11216000.0,13338000.0
Algeria,"Chick peas, dry",1000 USD,17774000.0,23284000.0,23968000.0,22348000.0,20506000.0,18990000.0,20354000.0
Algeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1000 USD,10806000.0,10986000.0,9647000.0,9145000.0,8656000.0,8167000.0,8460000.0
Algeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1000 USD,410048000.0,418790000.0,480834000.0,468201000.0,216694000.0,292928000.0,406072000.0
Algeria,Cucumbers and gherkins,1000 USD,32309000.0,36650000.0,29403000.0,28465000.0,27677000.0,32394000.0,42030000.0
Algeria,Dates,1000 USD,4025409000.0,3689880000.0,4140395000.0,3737813000.0,3543156000.0,3780723000.0,4222888000.0
Algeria,Eggplants (aubergines),1000 USD,20962000.0,24553000.0,24166000.0,18884000.0,22584000.0,28244000.0,34336000.0
Algeria,Figs,1000 USD,21349000.0,18215000.0,18288000.0,16600000.0,13749000.0,14162000.0,15374000.0
Algeria,Grapes,1000 USD,735200000.0,776509000.0,939779000.0,1073861000.0,895794000.0,840100000.0,1178842000.0
Algeria,Green garlic,1000 USD,554104000.0,502927000.0,342394000.0,627250000.0,668640000.0,657844000.0,699397000.0
Algeria,"Groundnuts, excluding shelled",1000 USD,9635000.0,11319000.0,11683000.0,10802000.0,13044000.0,13817000.0,14674000.0
Algeria,"Hen eggs in shell, fresh",1000 USD,592073000.0,484826000.0,485760000.0,486613000.0,486543000.0,479491000.0,490226000.0
Algeria,"Horse meat, fresh or chilled",1000 USD,46000.0,51000.0,46000.0,46000.0,55000.0,46000.0,51000.0
Algeria,Lemons and limes,1000 USD,121919000.0,115567000.0,130502000.0,134646000.0,131354000.0,121868000.0,127839000.0
Algeria,"Lentils, dry",1000 USD,7721000.0,12030000.0,10214000.0,3999000.0,2556000.0,1861000.0,5971000.0
Algeria,Locust beans (carobs),1000 USD,259000.0,185000.0,223000.0,196000.0,181000.0,178000.0,188000.0
Algeria,Maize (corn),1000 USD,575000.0,1209000.0,1369000.0,639000.0,3431000.0,2017000.0,2571000.0
Algeria,"Meat of camels, fresh or chilled",1000 USD,94363000.0,96798000.0,96357000.0,112962000.0,115431000.0,103717000.0,111046000.0
Algeria,"Meat of cattle with the bone, fresh or chilled",1000 USD,1153832000.0,1267909000.0,1324706000.0,1160230000.0,1119289000.0,995821000.0,1067199000.0
Algeria,"Meat of chickens, fresh or chilled",1000 USD,794328000.0,925698000.0,756373000.0,905969000.0,968090000.0,949216000.0,1016734000.0
Algeria,"Meat of goat, fresh or chilled",1000 USD,317949000.0,307692000.0,292988000.0,303986000.0,304720000.0,289664000.0,298806000.0
Algeria,"Meat of pig with the bone, fresh or chilled",1000 USD,107000.0,127000.0,123000.0,111000.0,102000.0,97000.0,101000.0
Algeria,"Meat of rabbits and hares, fresh or chilled",1000 USD,5391000.0,6059000.0,5560000.0,5247000.0,4913000.0,4766000.0,4779000.0
Algeria,"Meat of sheep, fresh or chilled",1000 USD,3169904000.0,3127602000.0,3261851000.0,3004560000.0,2888537000.0,2658930000.0,4348791000.0
Algeria,"Meat of turkeys, fresh or chilled",1000 USD,101192000.0,114091000.0,96629000.0,113440000.0,68172000.0,87160000.0,96287000.0
Algeria,Mushrooms and truffles,1000 USD,3422000.0,2655000.0,2237000.0,3212000.0,2973000.0,2850000.0,3041000.0
Algeria,Natural honey,1000 USD,25501000.0,30798000.0,25265000.0,19468000.0,17260000.0,18185000.0,19488000.0
Algeria,Oats,1000 USD,9230000.0,16195000.0,13580000.0,8757000.0,4793000.0,8988000.0,8769000.0
Algeria,Olives,1000 USD,238601000.0,301654000.0,297511000.0,348681000.0,214392000.0,241182000.0,300395000.0
Algeria,"Onions and shallots, dry (excluding dehydrated)",1000 USD,435156000.0,372150000.0,513782000.0,532883000.0,427509000.0,425673000.0,664455000.0
Algeria,"Onions and shallots, green",1000 USD,101000.0,105000.0,88000.0,95000.0,86000.0,81000.0,83000.0
Algeria,Oranges,1000 USD,1132977000.0,1225695000.0,1185931000.0,1447820000.0,1190346000.0,1180886000.0,1910159000.0
Algeria,"Other beans, green",1000 USD,116572000.0,114288000.0,118625000.0,109764000.0,103525000.0,99718000.0,120362000.0
Algeria,"Other citrus fruit, n.e.c.",1000 USD,610000.0,627000.0,632000.0,593000.0,564000.0,526000.0,591000.0
Algeria,"Other fruits, n.e.c.",1000 USD,11122000.0,15990000.0,33950000.0,36265000.0,31909000.0,28369000.0,35278000.0
Algeria,Other pulses n.e.c.,1000 USD,119000.0,134000.0,27000.0,20000.0,19000.0,19000.0,24000.0
Algeria,Other stone fruits,1000 USD,9123000.0,8219000.0,10185000.0,9026000.0,9188000.0,8977000.0,9803000.0
Algeria,"Other vegetables, fresh n.e.c.",1000 USD,336293000.0,331902000.0,320362000.0,411322000.0,390225000.0,380822000.0,436131000.0
Algeria,Peaches and nectarines,1000 USD,47143000.0,45504000.0,47460000.0,40792000.0,38926000.0,42226000.0,50490000.0
Algeria,Pears,1000 USD,301104000.0,312470000.0,393185000.0,268352000.0,286214000.0,313785000.0,324696000.0
